state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Oregon,2019,10,107,16.75,253199.25
Oregon,2019,11,97,22.75,220915.0
Oregon,2019,12,96,27.75,273410.75
Pennsylvania,2019,0,7537,105.25,23854898.75
Pennsylvania,2019,1,539,22.75,832180.75
Pennsylvania,2019,2,584,105.25,6164293.5
Pennsylvania,2019,3,526,21.75,582283.25
Pennsylvania,2019,4,594,66.25,1668422.5
Pennsylvania,2019,5,731,83.5,2164965.75
Pennsylvania,2019,6,836,46.0,1512223.25
Pennsylvania,2019,7,876,49.75,2725899.25
Pennsylvania,2019,8,703,35.75,1267653.5
Pennsylvania,2019,9,448,25.5,602698.25
Pennsylvania,2019,10,625,42.25,1496613.25
Pennsylvania,2019,11,547,96.5,3514392.0
Pennsylvania,2019,12,528,71.0,1323273.5
Rhode Island,2019,0,305,63.5,1981875.25
Rhode Island,2019,1,26,14.0,84576.0
Rhode Island,2019,2,22,29.25,121941.0
Rhode Island,2019,3,31,5.25,49266.5
Rhode Island,2019,4,20,4.0,78361.5
Rhode Island,2019,5,24,4.0,29592.75
Rhode Island,2019,6,24,5.5,34415.5
Rhode Island,2019,7,13,6.5,46384.0
Rhode Island,2019,8,32,5.5,36727.75
Rhode Island,2019,9,14,3.75,15448.5
Rhode Island,2019,10,49,63.5,876532.25
Rhode Island,2019,11,18,48.5,564912.75
Rhode Island,2019,12,32,4.25,43716.75
South Carolina,2019,0,2581,98.0,12132875.5
South Carolina,2019,1,186,21.5,251463.5
South Carolina,2019,2,146,12.75,192335.25
South Carolina,2019,3,138,22.75,199194.25
South Carolina,2019,4,251,41.5,769585.0
South Carolina,2019,5,265,10.0,293066.5
South Carolina,2019,6,456,74.75,1828039.25
South Carolina,2019,7,271,21.25,393845.0
South Carolina,2019,8,185,14.5,232790.25
South Carolina,2019,9,246,98.0,7473132.0
South Carolina,2019,10,107,21.25,150221.5
South Carolina,2019,11,164,10.75,113515.75
South Carolina,2019,12,166,19.75,235687.25
South Dakota,2019,0,269,418.75,1242504.5
South Dakota,2019,1,11,2.5,8765.25
South Dakota,2019,2,5,2.0,2239.0
South Dakota,2019,3,8,15.5,36992.75
South Dakota,2019,4,27,107.0,375878.5
South Dakota,2019,5,48,16.75,52809.5
South Dakota,2019,6,15,4.5,10578.75
South Dakota,2019,7,56,24.25,75056.5
South Dakota,2019,8,13,5.25,32965.75
South Dakota,2019,9,32,23.0,247785.0
South Dakota,2019,10,15,3.25,23083.5
South Dakota,2019,11,25,11.0,57754.25
South Dakota,2019,12,14,418.75,318595.75
Tennessee,2019,0,3534,103.75,7488474.5
Tennessee,2019,1,144,27.0,250827.25
Tennessee,2019,2,199,17.5,393179.75
Tennessee,2019,3,220,25.0,395436.25
Tennessee,2019,4,210,22.75,330735.25
Tennessee,2019,5,284,23.75,311719.75
Tennessee,2019,6,571,45.75,1977267.0
Tennessee,2019,7,428,26.25,578164.5
Tennessee,2019,8,378,27.0,732761.0
Tennessee,2019,9,234,10.25,298930.0
Tennessee,2019,10,395,103.75,1549505.0
Tennessee,2019,11,230,46.0,364695.5
Tennessee,2019,12,241,17.75,305253.25
Texas,2019,0,13848,723.75,58177471.75
Texas,2019,1,806,25.25,1057055.0
Texas,2019,2,698,25.75,916171.25
Texas,2019,3,925,77.5,3492240.0
Texas,2019,4,1280,54.25,3970699.75
Texas,2019,5,1719,151.5,7590845.0
Texas,2019,6,1682,723.75,20791362.25
Texas,2019,7,1293,80.5,3173532.75
Texas,2019,8,1277,43.0,3276467.0
Texas,2019,9,1150,114.75,3314335.0
Texas,2019,10,1244,285.25,8119831.0
Texas,2019,11,967,189.5,1437161.75
Texas,2019,12,807,94.5,1037771.0
US Virgin Islands,2019,0,313,53.75,2615858.75
US Virgin Islands,2019,1,0,0.0,0.0
US Virgin Islands,2019,2,1,1.75,2344.25
US Virgin Islands,2019,3,13,7.25,91455.25
US Virgin Islands,2019,4,19,9.0,179909.5
US Virgin Islands,2019,5,31,17.5,104272.0
US Virgin Islands,2019,6,26,6.25,141485.75
US Virgin Islands,2019,7,30,12.0,264921.25
US Virgin Islands,2019,8,54,53.75,759858.0
US Virgin Islands,2019,9,55,10.5,644764.5
US Virgin Islands,2019,10,30,8.5,72796.25
US Virgin Islands,2019,11,41,5.75,319015.25
US Virgin Islands,2019,12,13,4.75,35036.75
Utah,2019,0,1177,56.75,2202371.0
Utah,2019,1,59,15.25,132775.25
Utah,2019,2,104,15.5,146636.25
Utah,2019,3,79,56.75,449479.25
Utah,2019,4,100,10.0,146565.75
Utah,2019,5,135,11.25,256555.25
Utah,2019,6,125,8.75,137317.75
Utah,2019,7,129,40.0,293509.75
Utah,2019,8,121,17.25,184897.75
Utah,2019,9,93,15.5,151017.25
Utah,2019,10,84,14.0,123451.75
Utah,2019,11,110,15.0,136541.0
Utah,2019,12,38,8.25,43624.0
Vermont,2019,0,592,83.0,2269782.5
Vermont,2019,1,30,7.5,35217.75
Vermont,2019,2,56,29.5,103360.5
Vermont,2019,3,45,9.75,64579.5
Vermont,2019,4,65,15.75,118542.0
Vermont,2019,5,33,4.75,50047.0
Vermont,2019,6,62,5.0,55517.75
Vermont,2019,7,56,11.0,107765.5
Vermont,2019,8,51,7.25,61138.25
Vermont,2019,9,36,5.5,21552.25
Vermont,2019,10,53,44.75,205594.5
Vermont,2019,11,64,83.0,1419226.5
Vermont,2019,12,41,7.0,27241.0
Virginia,2019,0,5892,70.75,17670488.0
Virginia,2019,1,489,37.25,1309305.5
Virginia,2019,2,412,70.75,2836268.25
Virginia,2019,3,328,24.0,500373.75
Virginia,2019,4,485,24.5,1543330.75
Virginia,2019,5,529,70.25,2366134.0
Virginia,2019,6,636,33.25,1523373.75
Virginia,2019,7,804,32.0,2170321.75
Virginia,2019,8,643,27.0,1606403.25
Virginia,2019,9,330,36.75,970308.5
Virginia,2019,10,476,52.0,1213135.0
Virginia,2019,11,484,42.5,1266778.0
Virginia,2019,12,276,26.25,364755.5
Washington,2019,0,1830,121.25,5721932.25
Washington,2019,1,105,37.5,699904.25
Washington,2019,2,142,34.0,1150629.75
Washington,2019,3,95,12.25,176492.5
Washington,2019,4,123,11.75,252900.0
Washington,2019,5,152,11.75,212734.75
Washington,2019,6,146,18.5,277438.0
Washington,2019,7,178,32.5,536504.5
Washington,2019,8,172,46.75,349327.5
Washington,2019,9,205,44.25,680238.75
