state,year,month,outage_count,max_outage_duration,customer_weighted_hours
South Carolina,2018,0,3283,225.75,13016527.0
South Carolina,2018,1,257,9.5,250369.0
South Carolina,2018,2,139,22.75,162131.0
South Carolina,2018,3,192,15.0,241256.25
South Carolina,2018,4,260,45.0,779517.25
South Carolina,2018,5,281,15.0,379573.0
South Carolina,2018,6,442,47.0,1371284.25
South Carolina,2018,7,369,26.0,581479.75
South Carolina,2018,8,328,25.75,463280.75
South Carolina,2018,9,374,225.75,3942006.75
South Carolina,2018,10,273,40.0,1445691.5
South Carolina,2018,11,146,28.25,298415.75
South Carolina,2018,12,222,94.25,3101521.75
South Dakota,2018,0,135,120.5,184650.5
South Dakota,2018,1,4,1.25,4865.25
South Dakota,2018,2,3,5.0,3269.75
South Dakota,2018,3,8,3.0,2453.25
South Dakota,2018,4,11,7.25,11675.25
South Dakota,2018,5,17,120.5,66551.5
South Dakota,2018,6,17,8.25,18158.5
South Dakota,2018,7,11,3.5,6472.0
South Dakota,2018,8,20,13.25,19834.25
South Dakota,2018,9,13,4.0,12732.5
South Dakota,2018,10,21,3.75,14041.0
South Dakota,2018,11,3,1.75,1733.75
South Dakota,2018,12,7,2.5,22863.5
Tennessee,2018,0,2615,75.75,5574116.0
Tennessee,2018,1,186,12.0,185879.25
Tennessee,2018,2,210,16.75,315468.5
Tennessee,2018,3,125,19.5,161480.25
Tennessee,2018,4,167,58.0,297431.0
Tennessee,2018,5,274,13.75,440479.5
Tennessee,2018,6,325,27.5,1326216.0
Tennessee,2018,7,306,46.5,919042.25
Tennessee,2018,8,213,12.0,254588.5
Tennessee,2018,9,253,21.75,419691.25
Tennessee,2018,10,170,13.5,173751.0
Tennessee,2018,11,182,51.25,390923.75
Tennessee,2018,12,204,75.75,689164.75
Texas,2018,0,13359,123.5,24498016.75
Texas,2018,1,1281,30.0,1994714.75
Texas,2018,2,848,123.5,2290786.75
Texas,2018,3,966,45.5,1712387.0
Texas,2018,4,984,45.0,1961524.25
Texas,2018,5,1274,43.25,2117646.0
Texas,2018,6,1285,54.25,2856837.0
Texas,2018,7,1379,71.5,2445676.0
Texas,2018,8,1160,29.5,1833395.0
Texas,2018,9,1169,46.5,2062344.5
Texas,2018,10,1137,29.0,1799195.75
Texas,2018,11,920,25.0,1447866.0
Texas,2018,12,956,49.25,1975643.75
Utah,2018,0,989,20.25,1840143.5
Utah,2018,1,54,10.0,73375.0
Utah,2018,2,61,20.25,141721.5
Utah,2018,3,81,13.25,161084.75
Utah,2018,4,100,14.0,187369.0
Utah,2018,5,93,7.75,119658.5
Utah,2018,6,79,10.0,123487.75
Utah,2018,7,132,13.25,202828.0
Utah,2018,8,91,12.25,225003.75
Utah,2018,9,77,19.25,156622.75
Utah,2018,10,88,12.0,148639.75
Utah,2018,11,82,16.25,186554.75
Utah,2018,12,51,10.5,113798.0
Vermont,2018,0,750,82.25,4003050.25
Vermont,2018,1,38,7.25,36194.25
Vermont,2018,2,26,7.0,33324.0
Vermont,2018,3,32,13.25,61863.5
Vermont,2018,4,87,65.75,647178.0
Vermont,2018,5,58,52.75,512276.75
Vermont,2018,6,59,19.25,175350.25
Vermont,2018,7,80,12.25,67086.5
